Query,Clicks,Impressions,CTR %,Avg Position,Opportunity
"watch repair near me",8,442,1.81,5.41,"CTR problem: high impressions and low clicks; rewrite homepage title/meta around watch repair, battery replacement, Pasadena, and same-day local intent"
"jewelry repair near me",5,1024,0.49,8.17,"CTR problem: highest impression query; strengthen homepage snippet around in-house repair, fast quote, and Pasadena trust signals"
"susie's jewelry and watch repair",5,110,4.55,2.32,"Monitor: branded query is comparatively healthy; protect brand result and reviews"
"jewelry repair pasadena tx",3,31,9.68,1.90,"Monitor: strong local ranking; use as model for title/meta intent on broader near-me queries"
"jewelry repair",2,121,1.65,11.88,"CTR and ranking problem: position 10-15; improve homepage/service hub depth and internal links"
"watch battery replacement near me",2,196,1.02,8.31,"CTR problem: map more directly to watch repair page title/meta and above-fold copy"
"cremation jewelry near me",1,1,100.00,1.00,"Monitor: tiny sample; only prioritize if service is actually offered"
"fashion jewelry repair near me",1,2,50.00,2.50,"Monitor: tiny sample; consider FAQ copy if service is offered"
"jewellery shop near me",1,4,25.00,7.00,"Monitor: tiny sample; secondary spelling variant"
"jewelry cleaning near me",1,14,7.14,8.00,"Monitor: service opportunity; build internal links to jewelry cleaning page"
"jewelry repair in pasadena",1,6,16.67,4.83,"Monitor: local-intent query is healthy"
"jewelry resizing near me",1,8,12.50,6.75,"Monitor: small sample; map to ring sizing page and cost guide"
"jewelry store near me",1,268,0.37,9.02,"CTR problem: broad store intent; snippet should clarify repair plus local shop"
"joyeria near me",1,11,9.09,10.18,"Ranking problem: position 10-15; consider Spanish/local wording only if operationally appropriate"
"movado watch battery replacement near me",1,2,50.00,6.00,"Monitor: tiny sample; possible brand-specific watch battery FAQ"
"ring engraving near me",1,1,100.00,9.00,"Monitor: tiny sample; only prioritize if service is offered"
"ring resizing near me",1,102,0.98,8.13,"CTR problem: commercial-intent query; improve ring sizing page title/meta and link cost guide prominently"
"same day resize ring",1,2,50.00,1.50,"Monitor: tiny sample; high-intent wording worth using carefully if same-day is true"
"susie jewelry",1,47,2.13,2.23,"CTR opportunity: branded variant; protect with brand/meta clarity"
"suzies jewellery",1,8,12.50,4.13,"Monitor: typo/variant branded query"
